nodeName cpu gpu ram
NodeA 4 1 8
NodeB 4 1 8
NodeC 4 1 8
NodeD 4 1 8
NodeE 4 1 8
NodeF 4 1 8
NodeG 4 1 8
NodeH 4 1 8
NodeI 4 1 8
NodeJ 4 1 8
NodeK 4 1 8
NodeL 4 1 8
NodeM 4 1 8
NodeN 4 1 8
NodeO 4 1 8
NodeP 4 1 8
NodeQ 4 1 8
NodeR 4 1 8
NodeS 4 1 8
NodeT 4 1 8
NodeU 4 1 8
NodeV 4 1 8
NodeW 4 1 8
NodeX 4 1 8
NodeY 4 1 8
NodeZ 4 1 8
NodeAA 4 1 8
NodeAB 4 1 8
NodeAC 4 1 8
NodeAD 4 1 8
NodeAE 8 2 16
NodeAF 8 2 16
NodeAG 8 2 16
NodeAH 8 2 16
NodeAI 8 2 16
NodeAJ 8 2 16
NodeAK 8 2 16
NodeAL 8 2 16
NodeAM 8 2 16
NodeAN 8 2 16
NodeAO 8 2 16
NodeAP 8 2 16
NodeAQ 8 2 16
NodeAR 8 2 16
NodeAS 8 2 16
NodeAT 8 2 16
NodeAU 8 2 16
NodeAV 8 2 16
NodeAW 8 2 16
NodeAX 8 2 16
NodeAY 8 2 16
NodeAZ 8 2 16
NodeBA 8 2 16
NodeBB 8 2 16
NodeBC 8 2 16
NodeBD 8 2 16
NodeBE 8 2 16
NodeBF 8 2 16
NodeBG 8 2 16
NodeBH 8 2 16
NodeBI 16 4 32
NodeBJ 16 4 32
NodeBK 16 4 32
NodeBL 16 4 32
NodeBM 16 4 32
NodeBN 16 4 32
NodeBO 16 4 32
NodeBP 16 4 32
NodeBQ 16 4 32
NodeBR 16 4 32
NodeBS 16 4 32
NodeBT 16 4 32
NodeBU 16 4 32
NodeBV 16 4 32
NodeBW 16 4 32
NodeBX 16 4 32
NodeBY 16 4 32
NodeBZ 16 4 32
NodeCA 16 4 32
NodeCB 16 4 32
NodeCC 16 4 32
NodeCD 16 4 32
NodeCE 16 4 32
NodeCF 16 4 32
NodeCG 16 4 32
NodeCH 16 4 32
NodeCI 16 4 32
NodeCJ 16 4 32
NodeCK 16 4 32
NodeCL 16 4 32
NodeCM 16 4 32
NodeCN 16 4 32
NodeCO 16 4 32
NodeCP 16 4 32
NodeCQ 16 4 32
NodeCR 16 4 32
NodeCS 16 4 32
NodeCT 16 4 32
NodeCU 16 4 32
NodeCV 16 4 32
