nodeName cpu gpu ram
NodeA 4 1 8
NodeB 4 1 8
NodeC 4 1 8
NodeD 4 1 8
NodeE 4 1 8
NodeF 4 1 8
NodeG 4 1 8
NodeH 4 1 8
NodeI 4 1 8
NodeJ 4 1 8
NodeK 4 1 8
NodeL 4 1 8
NodeM 4 1 8
NodeN 4 1 8
NodeO 4 1 8
NodeP 4 1 8
NodeQ 4 1 8
NodeR 4 1 8
NodeS 4 1 8
NodeT 4 1 8
NodeU 4 1 8
NodeV 4 1 8
NodeW 4 1 8
NodeX 4 1 8
NodeY 8 2 16
NodeZ 8 2 16
NodeAA 8 2 16
NodeAB 8 2 16
NodeAC 8 2 16
NodeAD 8 2 16
NodeAE 8 2 16
NodeAF 8 2 16
NodeAG 8 2 16
NodeAH 8 2 16
NodeAI 8 2 16
NodeAJ 8 2 16
NodeAK 8 2 16
NodeAL 8 2 16
NodeAM 8 2 16
NodeAN 8 2 16
NodeAO 8 2 16
NodeAP 8 2 16
NodeAQ 8 2 16
NodeAR 8 2 16
NodeAS 8 2 16
NodeAT 8 2 16
NodeAU 8 2 16
NodeAV 8 2 16
NodeAW 16 4 32
NodeAX 16 4 32
NodeAY 16 4 32
NodeAZ 16 4 32
NodeBA 16 4 32
NodeBB 16 4 32
NodeBC 16 4 32
NodeBD 16 4 32
NodeBE 16 4 32
NodeBF 16 4 32
NodeBG 16 4 32
NodeBH 16 4 32
