podName arrivalTime work prio tickets cpu gpu ram
PodA 4 176 3 55 15 24 78
PodB 7 390 3 75 11 25 85
PodC 12 609 3 32 14 32 80
PodD 17 368 4 39 1 10 64
PodE 17 905 2 35 1 27 12
PodF 21 633 1 56 9 7 65
PodG 23 437 4 77 12 29 85
PodH 26 806 1 86 12 27 113
PodI 30 765 2 35 15 7 55
PodJ 33 655 4 40 9 13 104
PodK 38 947 3 20 5 6 67
PodL 41 921 2 88 14 32 99
PodM 43 258 1 11 5 15 93
PodN 44 865 1 32 9 11 20
PodO 49 907 1 15 1 5 128
PodP 49 487 3 37 6 30 86
PodQ 52 741 3 71 3 6 28
PodR 53 805 3 76 4 3 80
PodS 54 749 1 35 12 6 52
PodT 55 723 2 27 5 16 18
PodU 60 553 4 56 12 2 103
PodV 64 951 2 97 14 8 50
PodW 65 981 2 83 11 22 85
PodX 70 179 2 19 16 21 69
PodY 70 368 4 73 12 9 119
PodZ 71 297 3 44 10 24 102
PodAA 75 450 4 52 15 3 39
PodAB 77 666 3 90 10 6 42
PodAC 82 774 1 56 6 24 6
PodAD 87 273 1 93 5 4 43
PodAE 90 792 3 22 1 12 15
PodAF 92 171 4 97 11 32 9
PodAG 97 143 1 38 4 5 57
PodAH 102 993 3 37 13 32 125
PodAI 106 387 2 49 16 16 9
PodAJ 107 472 4 36 6 24 64
PodAK 112 716 1 28 11 9 5
PodAL 117 103 4 45 15 32 103
PodAM 118 521 1 15 11 5 117
PodAN 119 953 4 90 4 5 59
PodAO 121 265 1 77 12 30 26
PodAP 124 991 2 91 15 9 106
PodAQ 128 207 1 69 13 21 17
PodAR 129 108 3 33 15 15 59
PodAS 134 856 2 76 2 9 81
PodAT 139 244 1 64 5 25 7
PodAU 142 305 3 68 9 8 102
PodAV 147 509 2 61 12 31 79
PodAW 149 699 3 87 5 12 121
PodAX 153 516 2 48 6 18 75
PodAY 154 726 1 24 14 10 104
PodAZ 156 162 1 31 12 6 76
